0,2024-10-24 13:22:34.632318," Senior Sales Engineer, Federal Civilian job in   D.C.  at  Snowflake  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/9928412/Senior-Sales-Engineer-Federal-Civilian-D-C
1,2024-10-24 13:22:34.632318, Program Manager II job in   D.C.  at  CDW  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/9582471/Program-Manager-Ii-D-C
2,2024-10-24 13:22:34.632318," Sr. Manager, Education and Customer Engagement job in   D.C.  at  McKesson Corporation  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/9870846/Sr-Manager-Education-Customer-Engagement-D-C
3,2024-10-24 13:22:34.632318," Software Engineer  (FHIR) job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/8861203/Software-Engineer-Fhir-D-C-Washington
4,2024-10-24 13:22:34.632318," Senior District Manager, Federal Civilian job in   D.C.  at  Snowflake  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/9883472/Senior-District-Manager-Federal-Civilian-D-C
5,2024-10-24 13:22:34.632318," Training and Compliance Manager, Customer Operations job in   D.C.  at  Incora  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/9882874/Training-Compliance-Manager-Customer-Operations-D-C
6,2024-10-24 13:22:34.632318, Product Marketing Manager job in   D.C.  at  ZOLL Cardiac Management Solutions  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/8956222/Product-Marketing-Manager-D-C
