0,2024-12-27 13:19:35.741913, Sr Project Manager - Federal job in   D.C.  at  Lumen Technologies  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/10505437/Sr-Project-Manager-Federal-D-C
1,2024-12-27 13:19:35.741913, Senior Data Scientist (Psychometrics) job in   D.C.  at  Udemy  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/10297380/Senior-Data-Scientist-D-C
2,2024-12-27 13:19:35.741913, User Support Analyst job in   D.C.  at  Stout  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/8614945/User-Support-Analyst-D-C
3,2024-12-27 13:19:35.741913," Senior Associate - US Program, Green Industrial Strategy job in   D.C.  at  Rocky Mountain Institute  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/10734729/Senior-Associate-Us-Program-Green-Industrial-Strategy-D-C
4,2024-12-27 13:19:35.741913," Infrastructure Engineer  (Software) job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/10437859/Infrastructure-Engineer-Software-D-C-Washington
5,2024-12-27 13:19:35.741913," Business Development Executive, GBS LE job in   D.C.  at  Gartner  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/8656607/Business-Development-Executive-Gbs-Le-Gsl-D-C
6,2024-12-27 13:19:35.741913, Capital Channel Sales Manager - Northeast and Mid-Atlantic job in   D.C.  at  QuidelOrtho  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/10680333/Capital-Channel-Sales-Manager-Northeast-Mid-Atlantic-D-C
7,2024-12-27 13:19:35.741913, Early Careers: Sophomore Actuarial Mentorship Program job in   D.C.  at  Aon  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/10396036/Early-Careers-Sophomore-Actuarial-Mentorship-Program-D-C
8,2024-12-27 13:19:35.741913," Project Manager job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/8861155/Project-Manager-D-C-Washington
9,2024-12-27 13:19:35.741913," Software Engineer  (FHIR) job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/8861203/Software-Engineer-Fhir-D-C-Washington
