0,2026-05-17 14:24:02.684108, Sales Manager job in   D.C.  at  ENGIE North America Inc.  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/15152860/Sales-Manager-D-C
1,2026-05-17 14:24:02.684108," Cisco Call Manager Engineer, TS/SCI job in   D.C.  at  CDW  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/15187912/Cisco-Call-Manager-Engineer-D-C
2,2026-05-17 14:24:02.684108," Clinical Data Reviewer - Oncology Required (US, CAN, UK Only) job in   D.C.  at  Syneos Health/ inVentiv Health Commercial LLC  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/16929781/Clinical-Data-Reviewer-Oncology-Required-Us-Can-Uk-Only-D-C
3,2026-05-17 14:24:02.684108, Senior Integration Manager job in   D.C.  at  Covanta  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/16926271/Senior-Integration-Manager-D-C
4,2026-05-17 14:24:02.684108," Clinical Data Reviewer - Internal Medicine (US, CAN, UK Only) job in   D.C.  at  Syneos Health/ inVentiv Health Commercial LLC  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/16924957/Clinical-Data-Reviewer-Internal-Medicine-Us-Can-Uk-Only-D-C
5,2026-05-17 14:24:02.684108," Solution Engineer - Aerospace & Defense/Government System Integrators (All Levels) job in  Washington,   D.C.  at  salesforce.com, inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/16861395/Account-Solution-Engineer-A-D-Govsi-All-Levels-D-C-Washington
