0,2024-12-25 13:19:23.733538, Senior Data Cloud Architect job in   D.C.  at  Snowflake  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/10090954/Senior-Data-Cloud-Architect-D-C
1,2024-12-25 13:19:23.733538," Senior Associate - US Program, Green Industrial Strategy job in   D.C.  at  Rocky Mountain Institute  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/10734729/Senior-Associate-Us-Program-Green-Industrial-Strategy-D-C
2,2024-12-25 13:19:23.733538," Infrastructure Engineer  (Software) job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/10437859/Infrastructure-Engineer-Software-D-C-Washington
3,2024-12-25 13:19:23.733538," Business Development Executive, GBS LE job in   D.C.  at  Gartner  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/8656607/Business-Development-Executive-Gbs-Le-Gsl-D-C
4,2024-12-25 13:19:23.733538, Capital Channel Sales Manager - Northeast and Mid-Atlantic job in   D.C.  at  QuidelOrtho  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/10680333/Capital-Channel-Sales-Manager-Northeast-Mid-Atlantic-D-C
5,2024-12-25 13:19:23.733538, Early Careers: Sophomore Actuarial Mentorship Program job in   D.C.  at  Aon  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/10396036/Early-Careers-Sophomore-Actuarial-Mentorship-Program-D-C
6,2024-12-25 13:19:23.733538," Project Manager job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/8861155/Project-Manager-D-C-Washington
7,2024-12-25 13:19:23.733538," Software Engineer  (FHIR) job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/8861203/Software-Engineer-Fhir-D-C-Washington
8,2024-12-25 13:19:23.733538, Tax Manager job in   D.C.  at  Cubic Corporation  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/10648566/Tax-Manager-D-C
